NumLocality,pop,FKKO,StatDate,Weight,Volume
22,2350080, 1 11 110 01 23 5 ,01.05.19,"22,0639219166844","24,1294668237114"
22,2350080, 1 11 110 01 23 5 ,01.06.19,"22,9798550327627","24,5424222743568"
22,2350080, 1 11 110 01 23 5 ,01.07.19,"23,1455690033956","22,6814841627423"
22,2350080, 1 11 110 01 23 5 ,01.08.19,"19,1883358901966","21,9050705618717"
22,2350080, 1 11 110 02 23 5 ,01.05.19,"21,6901970552055","27,7530520531257"
22,2350080, 1 11 110 02 23 5 ,01.06.19,"22,195604869666","22,4008421022025"
22,2350080, 1 11 110 02 23 5 ,01.07.19,"19,9853916550323","22,6520978328598"
22,2350080, 1 11 110 02 23 5 ,01.08.19,"21,4489328847727","27,6187719998111"
22,2350080, 1 11 110 03 23 5 ,01.05.19,"22,9505167959687","24,3323428026103"
22,2350080, 1 11 110 03 23 5 ,01.06.19,"18,8594861326185","24,7388974539725"
22,2350080, 1 11 110 03 23 5 ,01.07.19,"21,4205429893008","24,5880279101545"
22,2350080, 1 11 110 03 23 5 ,01.08.19,"20,6870596811651","23,4859062981602"
22,2350080, 1 11 110 04 23 5 ,01.05.19,"21,8371106457816","24,398563917646"
22,2350080, 1 11 110 04 23 5 ,01.06.19,"20,2288340581568","24,7192418392832"
22,2350080, 1 11 110 04 23 5 ,01.07.19,"22,4959040482405","21,9510383013047"
22,2350080, 1 11 110 04 23 5 ,01.08.19,"22,7486200683018","26,0967622026041"
22,2350080, 1 11 120 01 49 5 ,01.05.19,"20,0290675626522","28,1503372717251"
22,2350080, 1 11 120 01 49 5 ,01.06.19,"22,0453798408848","24,3841744866551"
22,2350080, 1 11 120 01 49 5 ,01.07.19,"21,5041144857514","24,6191446079675"
22,2350080, 1 11 120 01 49 5 ,01.08.19,"19,066758298418","27,5386429405307"
22,2350080, 1 11 120 02 49 5 ,01.05.19,"22,7295091147624","27,1349817045533"
22,2350080, 1 11 120 02 49 5 ,01.06.19,"21,666890739391","26,310108137627"
22,2350080, 1 11 120 02 49 5 ,01.07.19,"23,2131708745123","24,3266184793894"
22,2350080, 1 11 120 02 49 5 ,01.08.19,"21,4459078309948","21,7083221590215"
22,2350080, 1 11 120 03 49 5 ,01.05.19,"22,1288237908189","24,7166659617922"
22,2350080, 1 11 120 03 49 5 ,01.06.19,"21,4668464536415","25,2006529823273"
22,2350080, 1 11 120 03 49 5 ,01.07.19,"19,31647335056","27,7884817586167"
22,2350080, 1 11 120 03 49 5 ,01.08.19,"23,4404357044485","23,5677242779203"
22,2350080, 1 11 120 04 49 5 ,01.05.19,"22,3916677252875","27,9391297756352"
22,2350080, 1 11 120 04 49 5 ,01.06.19,"19,6117328661775","22,262885068532"
22,2350080, 1 11 120 04 49 5 ,01.07.19,"22,1551118353844","21,2463461567652"
22,2350080, 1 11 120 04 49 5 ,01.08.19,"19,7933828703814","22,5669119507835"
22,2350080, 1 12 713 02 29 4 ,01.05.19,"23,3711342361888","24,7370803929165"
22,2350080, 1 12 713 02 29 4 ,01.06.19,"19,8632498237022","24,5108732951932"
22,2350080, 1 12 713 02 29 4 ,01.07.19,"21,9664938668172","24,2440493089848"
22,2350080, 1 12 713 02 29 4 ,01.08.19,"23,1047710866158","27,4770114535405"
22,2350080, 1 12 911 01 33 4 ,01.05.19,"22,539175225685","21,3528603412678"
22,2350080, 1 12 911 01 33 4 ,01.06.19,"22,539175225685","26,5201478763567"
22,2350080, 1 12 911 01 33 4 ,01.07.19,"21,7087857878141","22,9360882774615"
22,2350080, 1 12 911 01 33 4 ,01.08.19,"21,1861269619237","21,2985165688127"
22,2350080, 1 12 911 02 29 5 ,01.05.19,"21,9324559968948","24,5634620390378"
22,2350080, 1 12 911 02 29 5 ,01.06.19,"23,2574451361067","25,5516811958014"
22,2350080, 1 12 911 02 29 5 ,01.07.19,"19,7345918042841","24,0372636417208"
